event_id,map_name,games,atk_win_pct,def_win_pct,agent,pick_rate_pct
3028,Split,6,41.0,59.0,kayo,0.0
3028,Split,6,41.0,59.0,skye,25.0
3028,Split,6,41.0,59.0,clove,0.0
3028,Split,6,41.0,59.0,yoru,17.0
3028,Split,6,41.0,59.0,astra,17.0
3028,Split,6,41.0,59.0,iso,0.0
3028,Split,6,41.0,59.0,reyna,0.0
3028,Split,6,41.0,59.0,tejo,0.0
3028,Split,6,41.0,59.0,veto,0.0
3028,Split,6,41.0,59.0,gekko,0.0
3028,Split,6,41.0,59.0,deadlock,0.0
3028,Split,6,41.0,59.0,brimstone,0.0
3028,Split,6,41.0,59.0,miks,0.0
3028,Summit,5,44.0,56.0,omen,70.0
3028,Summit,5,44.0,56.0,sova,30.0
3028,Summit,5,44.0,56.0,viper,50.0
3028,Summit,5,44.0,56.0,neon,60.0
3028,Summit,5,44.0,56.0,fade,70.0
3028,Summit,5,44.0,56.0,cypher,30.0
3028,Summit,5,44.0,56.0,phoenix,20.0
3028,Summit,5,44.0,56.0,raze,10.0
3028,Summit,5,44.0,56.0,jett,0.0
3028,Summit,5,44.0,56.0,harbor,50.0
3028,Summit,5,44.0,56.0,vyse,0.0
3028,Summit,5,44.0,56.0,breach,0.0
3028,Summit,5,44.0,56.0,waylay,30.0
3028,Summit,5,44.0,56.0,chamber,20.0
3028,Summit,5,44.0,56.0,killjoy,0.0
3028,Summit,5,44.0,56.0,sage,40.0
3028,Summit,5,44.0,56.0,kayo,20.0
3028,Summit,5,44.0,56.0,skye,0.0
3028,Summit,5,44.0,56.0,clove,0.0
3028,Summit,5,44.0,56.0,yoru,0.0
3028,Summit,5,44.0,56.0,astra,0.0
3028,Summit,5,44.0,56.0,iso,0.0
3028,Summit,5,44.0,56.0,reyna,0.0
3028,Summit,5,44.0,56.0,tejo,0.0
3028,Summit,5,44.0,56.0,veto,0.0
3028,Summit,5,44.0,56.0,gekko,0.0
3028,Summit,5,44.0,56.0,deadlock,0.0
3028,Summit,5,44.0,56.0,brimstone,0.0
3028,Summit,5,44.0,56.0,miks,0.0
